full_name,gender,certainty
Jean-Marc Vallée,m,1.0
Andrew Garfield,m,1.0
Sanjay Leela Bhansali,m,0.99
Eléonore Pourriat,f,0.99
Michael Nitsberg,m,1.0
Jonathan Frakes,m,1.0
Damien Chazelle,m,1.0
Lance Khazei,m,1.0
Thomas Meehan,m,1.0
Alan Taylor,m,1.0
Riisa Naka,f,0.78
Saroo Brierley,f,0.91
Gregory Jones,m,1.0
"Joachim Rønning, Espen Sandberg",m,1.0
Alan Mak,m,1.0
Mark Protosevich,m,1.0
Steve Coogan,m,1.0
Jason Andrews,m,1.0
Brenda Blethyn,f,1.0
Witi Ihimaera,m,0.62
Eileen Chang,f,1.0
Harley Quinn Smith,m,0.7
Klay Hall,m,0.93
John Polson,m,1.0
Alex Garland,m,0.95
Jorge Lendeborg Jr.,m,1.0
Zak Hilditch,m,0.97
Bruce Allpress,m,1.0
Curtis Armstrong,m,1.0
Tom Clancy,m,0.99
Matt Sazama,m,1.0
Mark Helprin,m,1.0
Sara Paxton,f,0.98
Ben Queen,m,0.98
Bindu De Stoppani,f,0.95
Sharman Macdonald,f,0.51
Kristen Buckley,f,0.99
Rick King,m,1.0
Kazushige Nagashima,m,1.0
Stephen Lang,m,1.0
Murat Cemcir,m,0.98
Melanie Lynskey,f,0.99
Ben Kingsley,m,0.98
Holt McCallany,m,0.97
Maiara Walsh,f,1.0
Deborah Lipstadt,f,1.0
"Fernando Meirelles, Kátia Lund",m,1.0
Fernando León de Aranoa,m,1.0
John Pearson,m,1.0
Gren Wells,m,0.84
Killian Coyle,m,0.98
Matthew Vaughn,m,1.0
Alexander Held,m,1.0
Ariane Fert,f,0.99
Zorion Eguileor,m,0.99
Phyllida Lloyd,f,0.96
Jacob Tierney,m,1.0
Rob Schmidt,m,1.0
Emma Jensen,f,0.97
Vijayendra Prasad,m,1.0
Matt Winston,m,1.0
Sissy Spacek,f,0.98
Steve Feke,m,1.0
Laura Harkcom,f,0.99
Lucas McHugh Carroll,m,0.99
John Sparkes,m,1.0
Max Thieriot,m,0.99
Vasan Bala,m,0.86
Parker Sawyers,m,0.91
Emma Stone,f,0.97
Demetrius Shipp Jr.,m,0.97
Steven Millhauser,m,1.0
Declan Lowney,m,1.0
Deborah Moggach,f,1.0
Vegar Hoel,m,0.98
Takao Osawa,m,1.0
Mark Rosenthal,m,1.0
Michael Ferris,m,1.0
Keenen Ivory Wayans,m,0.99
Vicky Jewson,f,0.9
Hana Sugisaki,f,0.97
Eric England,m,1.0
Chuck Hogan,m,1.0
Goran Dukic,m,1.0
Desmond Harrington,m,0.99
Raquel Alessi,f,0.99
David Gelb,m,1.0
Neal Purvis,m,1.0
Joey King,m,0.8
Nathan Fillion,m,1.0
David Cronenberg,m,1.0
Creighton Vero,m,0.99
Mohamed Fellag,m,0.98
Chris Miller,m,0.91
David Self,m,1.0
Allan Loeb,m,1.0
Robert Englund,m,1.0
Hal B. Klein,m,0.96
Bennett Miller,m,0.94
Bero Beyer,f,0.69
Ji-young Gong,f,0.93
Alec Berg,m,0.97
Lucy Hale,f,0.99
Dana DeVestern,f,0.94
Antwone Fisher,m,0.99
David Mamet,m,1.0
Paul Verhoeven,m,1.0
Stephanie Beatriz,f,1.0
Morgan Freeman,m,0.64
Yordanos Shiferaw,f,0.95
David Yates,m,1.0
Otto Bathurst,m,0.99
Phyllis Nagy,f,1.0
Molly Shannon,f,0.99
David Hackl,m,1.0
Eleanor Catton,f,1.0
Jet Li,m,0.59
John Fasano,m,1.0
Louis Nowra,m,0.99
Rosemary Sutcliff,f,1.0
Güven Kiraç,m,0.97
Dakota Johnson,m,0.68
Thomas Aquino,m,1.0
Robin Williams,m,0.77
Lawrence Konner,m,0.99
Patrick O'Brian,m,1.0
Tony Shalhoub,m,0.99
Frank Miller,m,1.0
Nicola Yoon,m,0.81
Man-Tat Ng,u,0.0
Scott Moore,m,1.0
Christos Stergioglou,m,1.0
Felicity Mason,f,0.99
Claude Baz Moussawbaa,m,0.93
Jon Stewart,m,0.99
Walter Hill,m,1.0
Jack Thorne,m,0.99
Michelle Williams,f,1.0
Sandro Petraglia,m,0.99
Lupita Nyong'o,f,0.99
"John Lasseter, Joe Ranft",m,1.0
Robert Dunn,m,1.0
Robert Schenkkan,m,1.0
Gabourey Sidibe,f,1.0
Gregory Burke,m,1.0
"Mark Osborne, John Stevenson",m,1.0
Justin Chadwick,m,0.99
Michael Rymer,m,1.0
Armando Iannucci,m,0.99
Sara Lynne Wright,f,0.98
Patricia Rozema,f,1.0
Natalie Dessay,f,1.0
Mark Rosenthal,m,1.0
"Stephen Daldry, Christian Duurvoort",m,1.0
Matt Ross,m,1.0
Herb Caillouet,m,1.0
Richard Raymond Harry Herbeck,m,1.0
Ruth Toma,f,1.0
"Charles Guard, Thomas Guard",m,1.0
Abby Kohn,f,0.98
Larry McMurtry,m,1.0
Mark Helprin,m,1.0
Ismael Fritschi,m,0.99
John Carroll Lynch,m,1.0
John Solomon,m,1.0
Clare Boothe Luce,f,0.99
Tsuneo Kobayashi,m,1.0
Gaurav Solanki,m,1.0
Michael Ferris,m,1.0
"Noel Clarke, Mark Davis",m,0.93
Lena Dunham,f,0.99
Brian King,m,1.0
Robert Pattinson,m,1.0
Joely Richardson,f,0.93
Trevor Wright,m,1.0
Nanni Moretti,m,0.69
John Carney,m,1.0
Sean Astin,m,1.0
R.J. Cutler,m,1.0
"David Palmer, Dax Shepard",m,1.0
Shiloh Fernandez,f,0.6
Dyan Sheldon,f,0.74
Jason Isaacs,m,1.0
Katie Silberman,f,1.0
Jamie Lee Curtis,m,0.66
Paula Hawkins,f,0.99
James Nguyen,m,1.0
Noomi Rapace,f,0.9
